"symbol","tf","time","open","high","low","close","volume"
"XAGUSD","30m","2025-12-23T06:30:00Z","69.645","69.7057","69.4782","69.5977","2140"
"XAGUSD","30m","2025-12-23T07:00:00Z","69.592","69.5927","69.322","69.3967","2961"
"XAGUSD","30m","2025-12-23T07:30:00Z","69.3967","69.544","69.225","69.28","5850"
"XAGUSD","30m","2025-12-23T08:00:00Z","69.28","69.4287","69.0817","69.402","7055"
"XAGUSD","30m","2025-12-23T08:30:00Z","69.4047","69.485","69.3202","69.3467","6913"
"XAGUSD","30m","2025-12-23T09:00:00Z","69.351","69.4807","69.2693","69.3857","2996"
"XAGUSD","30m","2025-12-23T09:30:00Z","69.385","69.6497","69.38","69.5353","3004"
"XAGUSD","30m","2025-12-23T10:00:00Z","69.5347","69.592","69.453","69.4697","2694"
"XAGUSD","30m","2025-12-23T10:30:00Z","69.4697","69.5917","69.396","69.501","2944"
"XAGUSD","30m","2025-12-23T11:00:00Z","69.501","69.5257","69.387","69.4927","3610"
"XAGUSD","30m","2025-12-23T11:30:00Z","69.4977","69.5717","69.425","69.4857","2793"
"XAGUSD","30m","2025-12-23T12:00:00Z","69.4837","69.6443","69.4537","69.6203","2574"
"XAGUSD","30m","2025-12-23T12:30:00Z","69.6203","69.7167","69.578","69.672","2521"
"XAGUSD","30m","2025-12-23T13:00:00Z","69.672","69.6997","69.535","69.5607","1724"
"XAGUSD","30m","2025-12-23T13:30:00Z","69.5607","69.746","69.54","69.7207","2394"
"XAGUSD","30m","2025-12-23T14:00:00Z","69.72","69.7407","69.5333","69.6103","2848"
"XAGUSD","30m","2025-12-23T14:30:00Z","69.6103","69.6743","69.543","69.5893","2357"
"XAGUSD","30m","2025-12-23T15:00:00Z","69.5733","70.4837","69.5653","70.289","11159"
"XAGUSD","30m","2025-12-23T15:30:00Z","70.291","70.6661","70.0653","70.4817","12105"
"XAGUSD","30m","2025-12-23T16:00:00Z","70.4817","70.58","70.1233","70.242","15576"
"XAGUSD","30m","2025-12-23T16:30:00Z","70.243","70.2433","69.206","69.444","21361"
"XAGUSD","30m","2025-12-23T17:00:00Z","69.4382","69.5557","68.807","69.1967","19362"
"XAGUSD","30m","2025-12-23T17:30:00Z","69.1935","69.8077","69.1603","69.7407","13356"
